Gene,C,Z,Pval,FDR,Module
SLC8A1,0.15087114811275049,317.5798421095892,0.0,0.0,-1.0
CD44,0.13622680555711503,315.8111195650378,0.0,0.0,12.0
S100A10,0.19042406713645077,315.3414335745391,0.0,0.0,17.0
MCTP2,0.1185449982962925,313.9836379578254,0.0,0.0,4.0
SLC2A3,0.15821866525184108,312.91140936652965,0.0,0.0,4.0
MPP7,0.1590936740748973,311.9680617636517,0.0,0.0,4.0
AHNAK,0.18635552031738314,311.8329140547471,0.0,0.0,12.0
AZIN1-AS1,0.09784081483091012,303.3932299414198,0.0,0.0,3.0
TNFAIP6,0.10880171351514528,301.77481988441474,0.0,0.0,3.0
CCDC200,0.16784994664871164,299.0405857746171,0.0,0.0,5.0
TEX14,0.22763798444135397,297.3128434895467,0.0,0.0,5.0
MBNL1,0.13127874269909443,293.7491677776164,0.0,0.0,10.0
PDE4D,0.14705894623357418,291.2172229542083,0.0,0.0,4.0
RFX2,0.14809903479709885,288.1776048493564,0.0,0.0,12.0
NFKBIZ,0.1388925287585649,287.6068771125128,0.0,0.0,3.0
FYB1,0.17561592945275464,287.5075376305762,0.0,0.0,-1.0
SMCHD1,0.17594079769311427,284.91236768691783,0.0,0.0,2.0
VAMP5,0.3281316501003579,283.6878804381258,0.0,0.0,1.0
ANXA1,0.12072490846674552,281.50022170620997,0.0,0.0,5.0
PLCB1,0.1342013612874534,279.98921017234903,0.0,0.0,10.0
APOL6,0.2430256900565358,279.3149202371703,0.0,0.0,1.0
GBP1,0.4311551252825726,278.53303077617164,0.0,0.0,1.0
FRY,0.1280162347573281,278.4520755120344,0.0,0.0,4.0
SIPA1L1,0.19721204559750208,278.38909945967646,0.0,0.0,3.0
LY6E,0.27459228489790843,277.8788921100322,0.0,0.0,1.0
TMTC2,0.12577131285263615,276.95621170969105,0.0,0.0,4.0
TXNIP,0.1728451862813543,276.570732500352,0.0,0.0,6.0
MARCKS,0.21667541013337283,276.5023815252309,0.0,0.0,6.0
EIF2AK2,0.21420675903435993,276.3346224048533,0.0,0.0,2.0
AC253572.2,0.16641169461084543,273.4299750767517,0.0,0.0,5.0
WARS,0.39487496356881097,271.5047121102823,0.0,0.0,1.0
FGL2,0.21284319052335324,270.33685210086,0.0,0.0,1.0
OAS3,0.2265302324433021,268.68585929066967,0.0,0.0,2.0
IRF1,0.16428593564166413,268.2917607691217,0.0,0.0,1.0
ISG15,0.307723775980851,267.53181980160826,0.0,0.0,1.0
ITGB3,0.12493693316849876,263.12215868579204,0.0,0.0,17.0
PSMB9,0.25696295312164885,260.7039342940649,0.0,0.0,1.0
RTN1,0.11613982229691376,256.86969402188424,0.0,0.0,7.0
RGS2,0.1253999813780524,256.1413843049058,0.0,0.0,8.0
CLEC4E,0.09882032713252477,255.54587590012997,0.0,0.0,3.0
CRIP1,0.17795602917508171,252.84807820344562,0.0,0.0,12.0
GBP4,0.33753864731134087,251.6661271688719,0.0,0.0,1.0
SCLT1,0.10218949084371531,251.35420656145314,0.0,0.0,7.0
VNN3,0.07828032981170809,250.8359457499672,0.0,0.0,4.0
AC084871.1,0.08896051108568863,249.72580675075912,0.0,0.0,3.0
IQGAP2,0.12765252556408352,247.0004060478978,0.0,0.0,12.0
ID2,0.19160407998320644,245.63573491765982,0.0,0.0,14.0
ICAM1,0.1727414543427808,245.43933428598163,0.0,0.0,3.0
HLA-DRB5,0.21341759664753526,244.49807096743857,0.0,0.0,6.0
TNFSF10,0.29068196076188624,244.29491191021646,0.0,0.0,1.0
LIMK2,0.16396614488946526,243.38027206980075,0.0,0.0,3.0
IFITM3,0.30843783868548535,242.2622009838676,0.0,0.0,1.0
KLF6,0.11795488801991484,241.90601324800934,0.0,0.0,5.0
C5AR1,0.14615038144491907,241.5394787541388,0.0,0.0,8.0
FAM49A,0.1559501821056725,240.23974522165182,0.0,0.0,3.0
UBE2L6,0.2307068895915936,239.68922089425243,0.0,0.0,1.0
MYOF,0.2163324983483712,239.6444019662704,0.0,0.0,1.0
IRS2,0.11508826157136631,237.6643236130065,0.0,0.0,4.0
CUL1,0.1918878931268251,237.48933710454116,0.0,0.0,1.0
ANKUB1,0.068263098843022,237.20534932998518,0.0,0.0,15.0
G0S2,0.16274649324408177,235.71897825487758,0.0,0.0,3.0
